# all merged pesticides

|trade_ name                        |active_ ingredients                                                                     |type        |WHO_Class_Family                             |uses|
|Grassquat 200SL                    |276g of paraquat dichloride (200g/l of paraquat ion)                                    |Herbicide   |Pyridines                                    |Non-selective, fast acting herbicides for control of grass and other weeds.|
|Komesha 20% EC                     |80g/l of ethalfuralin                                                                   |Herbicide   |Dinitroanilines                              |Post-emergence selective herbicide for control of grass in sunflower, simsim and tobacco.|
|Muparaxone                         |200g/l of paraquat                                                                      |Herbicide   |Pyridines                                    |A non-selective, pre and post emergence herbicide which kills all green vegetation in coffee, tea, banana, sugarcane, maize, cotton and other row crops.|
|Tupasate 480 SL                    |480g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |For control of wide range of annual and perennial grasses, broad leaf weeds, certain woody perennial and for field preparation before planting maize and other field crops.|
|Agro-round                         |360g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |A systemic foliar applied herbicide for the control of annual and perennial grass and broadleaf weeds such as kikuyu grass, couch and watergrass in coffee, tea plantations. Also is used for industrial weeds control.|
|Agrosate 480SL                     |480g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |Broad spectrum systemic non-selective herbicides for the control of annual, perennial and broad leaf.|
|Parapaz 20SL                       |200g/l of paraquat dichloride                                                           |Herbicide   |Pyridines                                    |For pre-crop emergence weed control, directed post emergence weed control, aquatic weed control, pasture renovation and sward destruction.|
|Kalach  480 SL                     |360g/l of glyphosate                                                                    |Herbicide   |Amino-phosphonates                           |Non-selective systemic herbicides absorbed by the foliage with rapid translocation throughout the plant. This chemical is efficient on deep-rooted perennial species, annual and biennial species of grasses, sedges and broad-leaved weeds|
|Wipeout 360 W/V                    |36%w/v of glyphosate acid                                                               |Herbicide   |Amino-phosphonates                           |A non-selective herbicide for controlling of weeds in the farm|
|Devaweed  720 SL                   |720g/l of 2, 4-D amine                                                                  |Herbicide   |Aryloxyacides                                |A selective water soluble concrete hormone type herbicide for the post emergence control of broadleaf weeds in crops.|
|Masterkinga 72WP                   |640g/kg of mancozeb and 80g/kg of cymoxanil                                             |Fungicide   |Dithiocarbamate and Acylalanine              |A broad spectrum and systemic fungicide for protecting and curing downy mildew, early and late blights in vegetable crops.|
|Excel speed 710 WP                 |710g/kg of glyphosate                                                                   |Herbicide   |Amino-phosphonates                           |A non-selective, systemic and translocative herbicide containing ammonium salts and glyphosate|
|RiceBack 400 SC                    |400g/l of  Bispyribac Sodium                                                            |Herbicide   |Bispyribac Sodium                            |Control of weeds on rice|
|Agrifos 400SL                      |455 g/l of Monopotassium + Dipotassium phosphonates                                     |Fungicide   |Phosphonic acid                              |Effective against phytophthora diseases and downy mildew in tomatoes.|
|Ivory M72 WP                       |80g/kg of metalaxyl and 640g/kg of mancozeb                                             |Fungicide   |Dithiocarbamate and Acylalanine              |A protective and curative broad spectrum fungicide.|
|Eureka 72WP                        |640g/kg of mancozeb and 80g/kg of metalaxyl                                             |Fungicide   |Dithiocarbamate and Acylalanine              |A systemic and contact foliar fungicide for the control of foliar and root diseases of potatoes and downy mildew ornamental crops.|
|Amezeb 72% WP                      |64% of mancozeb and 8% of metalaxy                                                      |Fungicide   |Dithiocarbamate and Acylalanine              |Broad spectrum fungicide against a wide spectrum of fungal diseases found on ornamentals and vegetable crops.|
|Victory 72WP                       |640g/kg of mancozeb and 80g/kg of metalaxyl                                             |Fungicide   |Dithiocarbamate and Acylalanine              |A systemic and contact foliar fungicide for the control of foliar and root diseases of potatoes and downy mildew ornamental crops.|
|Farmerzeb 80WP                     |80% WP of mancozeb                                                                      |Fungicide   |Dithiocarbamate                              |A broad spectrum protectant  and preventive fungicide for the control of fungal diseases  on vegetables|
|Echlonil 720  SC                   |720g/l of chlorothalonil                                                                |Fungicide   |Organochlorine fungicide                     |A broad spectrum contact fungicide effective for control coffee berry diseases, snow peas, downy mildew in coffee and cucumber, early and late blight in tomatoes and leaf spot in cucumber.|
|Linkonil 50 SC                     |50% of chlorothalonil                                                                   |Fungicide   |Organochlorine fungicide                     |Fungicide against downy mildew and late blight on vegetables and flower.|
|Rav super 720SC                    |720g/l of  chlorothalonil                                                               |Fungicide   |Organochlorine fungicide                     |A broad spectrum, contact and non-systemic and protective foliar fungicide that is used to control fungal diseases in a wide range of fruits, vegetables and cash crops such as coffee.|
|Linkmil 72 WP                      |80g/kg of metalaxyl and 640g/kg of mancozeb                                             |Fungicide   |Acylalanine and Dithiocarbamate              |A broad spectrum fungicide that protects and cures blights in downy mildew in vegetables.|
|Attakan 350 SC                     |350g/l of imidacloprid                                                                  |Insecticides|Neonicotinoid                                |For the control of aphids, mirids, and brown flea beetles on cotton and cabbages.|
